id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
0,-1.0446330382228837,-0.5647818228443071,0.2669158224728574,-0.02148798307293056,-0.5523724294656385,1.6582194525011533,0.006218242261547864,Extrovert
1,-0.7117102751312222,-0.5647818228443071,0.6301190254360804,-0.5063319185994524,-0.5523724294656385,0.47432880396889876,1.0482266057015293,Extrovert
2,0.9529035403270848,1.770595227310758,-1.549100192343258,-1.9608637251790177,,-1.1831181039762575,-1.7304623634717544,Introvert
3,-0.0458647489478994,-0.5647818228443071,0.6301190254360804,-0.5063319185994524,-0.5523724294656385,0.7111069336753497,0.006218242261547864,Extrovert
4,-0.7117102751312222,-0.5647818228443071,-0.45949058345358873,-0.02148798307293056,-0.5523724294656385,1.1846631930882514,,Extrovert
5,-0.3787875120395608,-0.5647818228443071,0.9933222283993035,0.46335595245359124,-0.5523724294656385,,-0.688454000031773,Extrovert
6,-0.7117102751312222,-0.5647818228443071,0.9933222283993035,,-0.5523724294656385,,-0.34111787888511264,Extrovert
7,-0.3787875120395608,-0.5647818228443071,0.9933222283993035,-0.5063319185994524,-0.5523724294656385,-0.9463399742698066,0.006218242261547864,Extrovert
8,0.287058014143762,1.770595227310758,-1.1858969893800348,-1.476019789652496,,-1.8934524930956103,-1.0357901211784335,Introvert
9,-0.7117102751312222,-0.5647818228443071,0.9933222283993035,0.948199887980113,-0.5523724294656385,1.4214413227947023,1.3955627268481898,Extrovert
10,-0.0458647489478994,-0.5647818228443071,0.6301190254360804,-0.02148798307293056,-0.5523724294656385,-0.7095618445633557,1.7428988479948502,Extrovert
11,-0.3787875120395608,-0.5647818228443071,0.2669158224728574,-0.5063319185994524,-0.5523724294656385,-0.9463399742698066,1.0482266057015293,Extrovert
12,-0.0458647489478994,-0.5647818228443071,-0.09628738049036567,-0.02148798307293056,-0.5523724294656385,0.2375506742624479,0.35355436340820834,Extrovert
13,-0.0458647489478994,,,0.46335595245359124,-0.5523724294656385,0.9478850633818006,0.006218242261547864,Extrovert
14,-0.0458647489478994,-0.5647818228443071,0.2669158224728574,-0.02148798307293056,-0.5523724294656385,0.2375506742624479,,Extrovert
15,,-0.5647818228443071,0.6301190254360804,0.948199887980113,-0.5523724294656385,-0.7095618445633557,1.0482266057015293,Extrovert
16,-1.0446330382228837,-0.5647818228443071,0.2669158224728574,-0.02148798307293056,-0.5523724294656385,0.0007725445559969803,1.7428988479948502,Extrovert
17,0.6199807772354234,,-1.912303395306481,-0.02148798307293056,1.8103727605800204,-1.4198962336827083,-1.7304623634717544,Introvert
18,-0.7117102751312222,-0.5647818228443071,-0.45949058345358873,-0.02148798307293056,-0.5523724294656385,0.7111069336753497,1.3955627268481898,Extrovert
19,-0.7117102751312222,-0.5647818228443071,,0.46335595245359124,-0.5523724294656385,0.47432880396889876,-0.688454000031773,Extrovert
20,-0.7117102751312222,-0.5647818228443071,1.3565254313625266,-0.5063319185994524,-0.5523724294656385,0.47432880396889876,0.7008904845548688,Extrovert
21,0.9529035403270848,1.770595227310758,-0.8226937864168118,-0.9911758541259742,1.8103727605800204,-1.6566743633891592,-0.688454000031773,Introvert
